epoch,accuracy,loss,val_accuracy,val_loss
0,0.3672848045825958,1.3257057666778564,0.4380403459072113,1.279242753982544
1,0.6612233519554138,0.9602972269058228,0.6685879230499268,0.9242951273918152
2,0.7996125221252441,0.5648444890975952,0.7118155360221863,0.8128575682640076
3,0.8530307412147522,0.404371440410614,0.7175792455673218,0.7825367450714111
4,0.8801549673080444,0.32373619079589844,0.7146974205970764,0.8283081650733948
5,0.9108774065971375,0.272344708442688,0.6945244669914246,0.876538097858429
6,0.9225021004676819,0.22122089564800262,0.6829971075057983,0.9397355914115906
7,0.9352338910102844,0.18992410600185394,0.6743515729904175,0.9765378832817078
8,0.951287031173706,0.16042010486125946,0.6743515729904175,1.0684674978256226
9,0.9559922218322754,0.141204833984375,0.6772334575653076,1.086412787437439
10,0.9612510204315186,0.124409981071949,0.680115282535553,1.1250524520874023
11,0.9659562706947327,0.11451389640569687,0.680115282535553,1.2017771005630493
12,0.9692776203155518,0.09791485965251923,0.6772334575653076,1.2534840106964111
13,0.9673401713371277,0.10136567056179047,0.680115282535553,1.2436877489089966
14,0.9692776203155518,0.0906892642378807,0.6772334575653076,1.3264812231063843
15,0.9709382653236389,0.08780252188444138,0.6858789920806885,1.3615810871124268
16,0.972875714302063,0.08688923716545105,0.6829971075057983,1.3680249452590942
17,0.9731525182723999,0.0800245851278305,0.680115282535553,1.3900505304336548
18,0.972045361995697,0.08080342411994934,0.6743515729904175,1.41654634475708
19,0.9731525182723999,0.07567569613456726,0.6858789920806885,1.465153455734253
20,0.9767506122589111,0.06804994493722916,0.6657060384750366,1.46607506275177
21,0.9748131632804871,0.07009115070104599,0.6685879230499268,1.52858304977417
22,0.9753667116165161,0.06841585040092468,0.6772334575653076,1.535256028175354
23,0.9759202599525452,0.06390364468097687,0.6685879230499268,1.6090495586395264
24,0.9778577089309692,0.06574296951293945,0.6628242135047913,1.558403491973877
